DATE,T5YIE
2019-03-13,1.84
2019-03-14,1.85
2019-03-15,1.86
2019-03-18,1.88
2019-03-19,1.85
2019-03-20,1.88
2019-03-21,1.86
2019-03-22,1.8
2019-03-25,1.77
2019-03-26,1.75
2019-03-27,1.74
2019-03-28,1.72
2019-03-29,1.78
2019-04-01,1.82
2019-04-02,1.81
2019-04-03,1.81
2019-04-04,1.81
2019-04-05,1.79
2019-04-08,1.81
2019-04-09,1.8
2019-04-10,1.83
2019-04-11,1.82
2019-04-12,1.86
2019-04-15,1.85
2019-04-16,1.86
2019-04-17,1.84
2019-04-18,1.86
2019-04-19,.
2019-04-22,1.87
2019-04-23,1.87
2019-04-24,1.87
2019-04-25,1.86
2019-04-26,1.86
2019-04-29,1.86
2019-04-30,1.85
2019-05-01,1.83
2019-05-02,1.78
2019-05-03,1.8
2019-05-06,1.81
2019-05-07,1.76
2019-05-08,1.75
2019-05-09,1.73
2019-05-10,1.75
2019-05-13,1.73
2019-05-14,1.75
2019-05-15,1.74
2019-05-16,1.75
2019-05-17,1.71
2019-05-20,1.71
2019-05-21,1.72
2019-05-22,1.68
2019-05-23,1.62
2019-05-24,1.62
2019-05-27,.
2019-05-28,1.58
2019-05-29,1.59
2019-05-30,1.59
2019-05-31,1.58
2019-06-03,1.56
2019-06-04,1.59
2019-06-05,1.59
2019-06-06,1.58
2019-06-07,1.61
2019-06-10,1.6
2019-06-11,1.57
2019-06-12,1.53
2019-06-13,1.51
2019-06-14,1.48
2019-06-17,1.45
2019-06-18,1.49
2019-06-19,1.53
2019-06-20,1.58
2019-06-21,1.6
2019-06-24,1.57
2019-06-25,1.52
2019-06-26,1.56
2019-06-27,1.53
2019-06-28,1.53
2019-07-01,1.53
2019-07-02,1.5
2019-07-03,1.51
2019-07-04,.
2019-07-05,1.55
2019-07-08,1.55
2019-07-09,1.56
2019-07-10,1.59
2019-07-11,1.63
2019-07-12,1.62
2019-07-15,1.61
2019-07-16,1.63
2019-07-17,1.6
2019-07-18,1.6
2019-07-19,1.6
2019-07-22,1.59
2019-07-23,1.61
2019-07-24,1.59
2019-07-25,1.6
2019-07-26,1.57
2019-07-29,1.57
2019-07-30,1.58
2019-07-31,1.56
2019-08-01,1.47
2019-08-02,1.45
2019-08-05,1.39
2019-08-06,1.4
2019-08-07,1.38
2019-08-08,1.43
2019-08-09,1.44
2019-08-12,1.39
2019-08-13,1.44
2019-08-14,1.36
2019-08-15,1.34
2019-08-16,1.34
2019-08-19,1.36
